ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0010543	regulation of platelet activation	3/123	37/16618	0.002558804111946315	0.028274254564784385	0.022017226907771307	Serpine2/Prkca/Fcer1g	3
GO:0043299	leukocyte degranulation	4/123	79/16618	0.0027995641686677174	0.030016247976526546	0.023373721174677273	Ccl3/Hmox1/RT1-CE5/Fcer1g	4
GO:0043112	receptor metabolic process	6/123	190/16618	0.0029043390450416047	0.030813764449983242	0.02399474908254125	Nsg1/Mx2/Mx1/Nsf/Ackr3/Fcer1g	6
GO:0006919	activation of cysteine-type endopeptidase activity involved in apoptotic process	4/123	80/16618	0.0029302811664473666	0.03096562994543388	0.0241130070923196	S100a9/Pparg/Myc/S100a8	4
GO:0042060	wound healing	9/123	416/16618	0.003783980250255105	0.03691113335688405	0.028742784241382522	Jaml/Serpine2/S100a9/Prkca/Hmox1/Il1b/S100a8/Fcer1g/Egr1	9
GO:0060135	maternal process involved in female pregnancy	4/123	86/16618	0.00380318930237211	0.036963113548236975	0.028783261335662915	Cited2/Ifi27/Vim/Akt1	4
GO:0045429	positive regulation of nitric oxide biosynthetic process	3/123	45/16618	0.004476697301414943	0.04168337382401397	0.03245893884353124	Klrk1/Il1b/Akt1	3
GO:1900077	negative regulation of cellular response to insulin stimulus	3/123	45/16618	0.004476697301414943	0.04168337382401397	0.03245893884353124	Prkca/Il1b/Pparg	3
GO:0010918	positive regulation of mitochondrial membrane potential	2/123	14/16618	0.004665432559105433	0.04225866294182914	0.03290691779963374	Myc/Akt1	2
GO:0017014	protein nitrosylation	2/123	14/16618	0.004665432559105433	0.04225866294182914	0.03290691779963374	S100a9/S100a8	2
GO:0018119	peptidyl-cysteine S-nitrosylation	2/123	14/16618	0.004665432559105433	0.04225866294182914	0.03290691779963374	S100a9/S100a8	2
GO:0006909	phagocytosis	6/123	213/16618	0.0050720133767096125	0.04487299542251726	0.03494270450119929	Il1b/Pparg/Tyrobp/Irf8/Fcer1g/Rhoh	6
GO:0009159	deoxyribonucleoside monophosphate catabolic process	2/123	15/16618	0.005357235674436255	0.04597848215716864	0.03580354955812487	Gda/Dnph1	2
GO:0090148	membrane fission	2/123	15/16618	0.005357235674436255	0.04597848215716864	0.03580354955812487	Mx2/Mx1	2
GO:0001921	positive regulation of receptor recycling	2/123	16/16618	0.0060930514228949685	0.04858022736278234	0.037829534519707185	Nsg1/Nsf	2
GO:0043922	negative regulation by host of viral transcription	2/123	16/16618	0.0060930514228949685	0.04858022736278234	0.037829534519707185	Ccl3/Hmox1	2
