ProbeSetID	GeneSymbol	IFN.FC	IFNAR_KO.FC	IFNAR_KO.pval	Cell.type	ortholog_name	Group
10504672	Tdrd7	6.46	1.53	2.673	B	Tdrd7	NA
10504761	LOC641050	2.5	0.86	0.395	B	NA	Tonic-insensitive
10508651	Sdc3	8.76	1.34	0.546	B	Sdc3	Tonic-insensitive
10511588	Tmem67	3.46	1.03	0.085	B	Tmem67	Tonic-insensitive
10512067	Ddx58	3.21	1.26	1.678	B	Ddx58	NA
10512766	Trim14	3.13	1.15	1.343	B	Trim14	Tonic-insensitive
10515220	Faah	2.57	0.91	0.644	B	Faah	Tonic-insensitive
10517336	Clic4	2.63	0.96	0.193	B	Clic4	Tonic-insensitive
10517336	Clic4	2.63	0.96	0.193	B	ENSRNOG00000067932	Tonic-insensitive
10519527	Abcb1a	2.73	0.91	0.246	B	Abcb1b	Tonic-insensitive
10519983	Fgl2	3.73	1.06	0.439	B	Fgl2	Tonic-insensitive
10523012	Dck	2.93	1.18	0.685	B	Dck	Tonic-insensitive
10524621	Oasl2	9.71	3.62	3.426	B	Oasl2	Tonic-sensitive
10524631	Oasl1	7.51	2.97	5.261	B	Oasl	Tonic-sensitive
10525158	Oas1b	5.38	1.34	1.532	B	Oas1k	NA
10525271	Naa25	2.64	1.11	0.507	B	Naa25	Tonic-insensitive
10526120	Tpst1	3.84	1.07	1.122	B	Tpst1	Tonic-insensitive
10526459	Rasa4	3.64	1.16	1.687	B	Rasa4	Tonic-insensitive
10526961	Mafk	2.75	1.09	0.6	B	NA	Tonic-insensitive
10528090	Rundc3b	3.47	1	0.008	B	Rundc3b	Tonic-insensitive
10530633	Sgcb	8.34	0.95	0.304	B	Sgcb	Tonic-insensitive
10531415	Cxcl10	35.98	1.04	0.27	B	Cxcl10	Tonic-insensitive
10531972	Gbp8	4.46	1.19	1.114	B	Gbp6	Tonic-insensitive
10531972	Gbp8	4.46	1.19	1.114	B	ENSRNOG00000066766	Tonic-insensitive
10531980	Gbp9	4.55	1.59	2.418	B	Gbp6	Tonic-sensitive
10531980	Gbp9	4.55	1.59	2.418	B	ENSRNOG00000066766	Tonic-sensitive
10531987	Gbp4	5.33	1.35	1.36	B	Gbp4	NA
10531987	Gbp4	5.33	1.35	1.36	B	Gbp6	NA
10531987	Gbp4	5.33	1.35	1.36	B	ENSRNOG00000066766	NA
10531994	Mpa2l	7.63	1.59	2.619	B	NA	NA
10532019	Gbp11	4.46	1.25	1.353	B	Gbp6	Tonic-insensitive
10532019	Gbp11	4.46	1.25	1.353	B	ENSRNOG00000066766	Tonic-insensitive
10533198	Oas2	11.54	4.27	2.342	B	Oas2	Tonic-sensitive
10533213	Oas3	17.58	1.57	2.798	B	Oas3	Tonic-insensitive
10533237	Oas1c	2.59	1.03	0.213	B	Oas1d	Tonic-insensitive
10533237	Oas1c	2.59	1.03	0.213	B	Oas1e	Tonic-insensitive
10533237	Oas1c	2.59	1.03	0.213	B	Oas1h	Tonic-insensitive
10533246	Oas1g	7.37	2.04	2.51	B	Oas1a	Tonic-sensitive
10533246	Oas1g	7.37	2.04	2.51	B	Oas1k	Tonic-sensitive
10533256	Oas1a	6.26	1.8	3.16	B	Oas1a	Tonic-sensitive
10533256	Oas1a	6.26	1.8	3.16	B	Oas1k	Tonic-sensitive
10533304	Trafd1	5.82	1.26	2.014	B	Trafd1	Tonic-insensitive
10533849	Rilpl1	5.82	0.99	0.038	B	Rilpl1	Tonic-insensitive
10535979	Rfc3	7.83	1.18	0.648	B	Rfc3	Tonic-insensitive
10537227	Tmem140	4.22	0.96	0.21	B	Tmem140	Tonic-insensitive
10538590	Herc6	8.69	1.53	1.248	B	Herc6	NA
10538658	Herc3	3.28	0.97	0.078	B	Herc3	Tonic-insensitive
10541307	Usp18	21.06	3.54	3.419	B	Usp18	Tonic-sensitive
10542275	Etv6	2.81	0.87	1.529	B	Etv6	Tonic-insensitive
10544133	Parp12	21.11	1.11	0.445	B	Parp12	Tonic-insensitive
10544982	Nt5c3	9.42	1.18	1.016	B	Nt5c3a	Tonic-insensitive
10545001	Ppm1k	3.97	1.31	1.257	B	Ppm1k	NA
10545588	Hk2	2.85	1.12	0.89	B	Hk2	Tonic-insensitive
10548333	Cd69	4.8	1.39	1.084	B	Cd69	NA
10549497	Fam60a	2.62	1.12	0.909	B	NA	Tonic-insensitive
10549544	Gm10388	3.11	0.96	0.102	B	NA	Tonic-insensitive
10552252	1600014C10Rik	4.25	0.98	0.138	B	1600014C10Rik	Tonic-insensitive
10553788	Atp10a	2.97	1.08	1.134	B	Atp10a	Tonic-insensitive
10554240	Isg20	9.17	1.52	1.961	B	Isg20	NA
10558134	Plekha1	2.62	1.17	0.703	B	Plekha1	Tonic-insensitive
10566144	Trim21	3.86	1.15	0.768	B	Trim21	Tonic-insensitive
10566346	9230105E10Rik	2.76	1.73	1.976	B	NA	Tonic-sensitive
10566350	A530023O14Rik	3.3	1.49	1.821	B	NA	Tonic-sensitive
10566358	Trim30a	2.92	2.09	2.776	B	Trim30c	Tonic-sensitive
10566366	Trim30d	4.67	1.81	1.915	B	Trim30c	Tonic-sensitive
10566574	Gvin1	3.83	1.9	3.681	B	Gvin1	Tonic-sensitive
10566585	Gm1966	2.68	1.26	1.176	B	NA	NA
10569017	Ifitm3	30.33	2.37	1.428	B	Ifitm3	Tonic-sensitive
10569017	Ifitm3	30.33	2.37	1.428	B	AABR07015596.1	Tonic-sensitive
10569102	Irf7	10.12	3.2	3.419	B	Irf7	Tonic-sensitive
10569168	Slc25a22	5.09	1.08	0.484	B	Slc25a22	Tonic-insensitive
10571984	Ddx60	15.96	3.31	2.273	B	AABR07025272.1	Tonic-sensitive
10571984	Ddx60	15.96	3.31	2.273	B	AABR07025140.1	Tonic-sensitive
10572772	Hsh2d	2.59	1.34	2.725	B	Hsh2d	Tonic-sensitive
10572932	Naa20	2.7	1.17	1.115	B	Naa20	Tonic-insensitive
10574098	Nlrc5	4.27	1.33	1.319	B	Nlrc5	NA
10574102	Nlrc5	4.41	1.24	0.755	B	Nlrc5	Tonic-insensitive
10574104	Nlrc5	4.85	1.34	1.937	B	Nlrc5	NA
10574133	Nlrc5	3.99	1.2	1.378	B	Nlrc5	Tonic-insensitive
10574135	Nlrc5	6.04	1.28	1.003	B	Nlrc5	Tonic-insensitive
10574137	Nlrc5	4.72	1.26	1.783	B	Nlrc5	Tonic-insensitive
10574139	Nlrc5	5.33	1.23	1.057	B	Nlrc5	Tonic-insensitive
10574141	Nlrc5	3.24	1.19	1.814	B	Nlrc5	Tonic-insensitive
10574143	Nlrc5	4.88	1.23	1.356	B	Nlrc5	Tonic-insensitive
10574145	Nlrc5	5.65	1.59	2.357	B	Nlrc5	Tonic-sensitive
10574149	Nlrc5	4.65	1.54	2.122	B	Nlrc5	Tonic-sensitive
10574151	Nlrc5	4.81	1.44	2.048	B	Nlrc5	NA
10574153	Nlrc5	3.07	1.12	0.781	B	Nlrc5	Tonic-insensitive
10574155	Nlrc5	3.58	1.25	1.677	B	Nlrc5	NA
10574157	Nlrc5	4.82	1.42	2.369	B	Nlrc5	NA
10574159	Nlrc5	3.42	1.35	1.627	B	Nlrc5	NA
10574161	Nlrc5	3.06	1.24	2.562	B	Nlrc5	NA
10574163	Nlrc5	5.05	1.25	1.297	B	Nlrc5	Tonic-insensitive
10578493	Tlr3	8.45	0.87	0.335	B	Tlr3	Tonic-insensitive
10579532	Bst2	5.22	1.19	1.742	B	Bst2	Tonic-insensitive
10579958	Il15	9.56	1.3	1.321	B	Il15	Tonic-insensitive
10580457	N4bp1	2.59	1.1	0.914	B	N4bp1	Tonic-insensitive
10580752	9330175E14Rik	6.33	1.27	0.736	B	NA	Tonic-insensitive
10580754	9330175E14Rik	3.56	1.43	1.726	B	NA	Tonic-sensitive
10581813	Mlkl	5.83	0.98	0.044	B	Mlkl	Tonic-insensitive
10582860	A530040E14Rik	2.93	1	0.014	B	NA	Tonic-insensitive
10582862	Arhgef12	2.94	1.08	0.242	B	Arhgef12	Tonic-insensitive
10582868	Sp110	2.68	1.1	0.507	B	Sp110	Tonic-insensitive
10582879	Csprs	4.45	1.72	2.539	B	Csprs	Tonic-sensitive
10582997	Casp4	5.48	1.27	1.816	B	Casp4	Tonic-insensitive
10584841	Amica1	11.05	1.12	0.373	B	NA	Tonic-insensitive
10589535	Ngp	2.68	0.56	0.497	B	Ngp	Tonic-insensitive
10589541	Kif9	2.98	0.95	0.274	B	Kif9	Tonic-insensitive
10591816	Dpy19l1	2.88	1.02	0.077	B	Dpy19l1	Tonic-insensitive
10595327	Phip	2.66	1.25	1.148	B	Phip	NA
10595371	Hmgn3	9.93	0.75	0.606	B	Hmgn3	Tonic-insensitive
10595402	Fam46a	3.4	1.52	1.741	B	NA	Tonic-sensitive
10595404	Fam46a	2.73	1.54	3.849	B	NA	Tonic-sensitive
10597279	Ccrl2	8.1	1.11	0.468	B	Ccrl2	Tonic-insensitive
10598152	LOC625360	7.22	1.55	0.937	B	NA	NA
10599612	Phf6	2.61	1.17	0.436	B	Phf6	Tonic-insensitive
10599976	Mtm1	2.59	0.99	0.028	B	Mtm1	Tonic-insensitive
10600326	Tktl1	4.69	1.01	0.017	B	Tktl1	Tonic-insensitive
10601312	Chic1	4.06	1.04	0.182	B	ENSRNOG00000037919	Tonic-insensitive
10607619	Cdkl5	2.8	0.98	0.09	B	Cdkl5	Tonic-insensitive
10607870	Tlr7	4.02	2.94	3.512	B	Tlr7	Tonic-sensitive
10346191	Stat1	3.58	1.04	0.038	MF	Stat4	Tonic-insensitive
10346960	Ccnyl1	3.45	1.21	0.677	MF	Ccnyl1	Tonic-insensitive
10347915	Gm7609	4.57	1.89	2.409	MF	Csprs	Tonic-sensitive
10347919	A530040E14Rik	4.55	1.04	0.136	MF	NA	Tonic-insensitive
10347921	A530040E14Rik	2.65	1.06	0.302	MF	NA	Tonic-insensitive
10347925	Gm7609	4.52	1.77	2.392	MF	Csprs	Tonic-sensitive
10347928	Sp110	2.58	0.97	0.175	MF	Sp110	Tonic-insensitive
10347948	Sp100	2.55	1.46	2.085	MF	Sp100	Tonic-sensitive
10347968	Sp100	3.22	1.09	0.53	MF	Sp100	Tonic-insensitive
10349637	Fam72a	3.29	0.74	0.686	MF	Fam72a	Tonic-insensitive
10350977	4930523C07Rik	2.62	0.94	0.386	MF	4930523C07Rik	Tonic-insensitive
10351873	Pyhin1	6.01	1.39	1.051	MF	RGD1562462	NA
10351880	E430029J22Rik	29.77	1.46	0.75	MF	NA	Tonic-insensitive
10352000	Kmo	3.17	1.14	0.38	MF	Kmo	Tonic-insensitive
10354054	Mitd1	2.93	1.2	1.756	MF	Mitd1	NA
10355259	Myl1	4.75	0.36	0.732	MF	Myl1	Tonic-insensitive
10356262	Csprs	2.57	1.42	2.07	MF	Csprs	Tonic-sensitive
10356274	Csprs	4.03	1.78	2.511	MF	Csprs	Tonic-sensitive
10359181	Tor3a	4.18	1.22	1.35	MF	Tor3a	Tonic-insensitive
10360370	BC094916	12.18	1.23	0.841	MF	NA	Tonic-insensitive
10360373	E030037K03Rik	19.57	1.61	0.594	MF	NA	Tonic-insensitive
10360377	AI607873	2.52	1.38	1.417	MF	NA	Tonic-sensitive
10360382	Ifi204	3.07	1.94	2.411	MF	Mnda	Tonic-sensitive
10360391	Ifi203	2.98	1	0.001	MF	ENSRNOG00000069878	Tonic-insensitive
10360406	Ifi205	17.83	2.77	1.729	MF	Mnda	Tonic-sensitive
10361995	Fam54a	3.47	1.1	0.364	MF	NA	Tonic-insensitive
10362073	Sgk1	2.89	0.84	1.387	MF	Sgk1	Tonic-insensitive
10365891	Tmcc3	2.97	1.11	0.835	MF	Tmcc3	Tonic-insensitive
10367224	Stat2	5.2	1.43	1.165	MF	Stat2	NA
10368616	Zufsp	4.48	0.74	1.128	MF	NA	Tonic-insensitive
10375515	Ifi47	6.66	1.08	0.083	MF	Ifi47	Tonic-insensitive
10376060	Irf1	3.81	0.93	0.08	MF	Irf1	Tonic-insensitive
10376324	Gm12250	7.63	1.6	0.672	MF	NA	NA
10376326	Irgm2	6.12	0.91	0.075	MF	Igtp	Tonic-insensitive
10378068	Xaf1	5	1.75	1.862	MF	Xaf1	Tonic-sensitive
10379511	Ccl2	16.54	0.92	0.259	MF	Ccl2	Tonic-insensitive
10379518	Ccl7	12.5	0.89	0.492	MF	Ccl7	Tonic-insensitive
10379615	Slfn5	5.06	4.62	2.526	MF	Slfn5	Tonic-sensitive
10379633	Slfn1	3.41	1.88	1.383	MF	AC128859.3	Tonic-sensitive
10379636	Slfn4	3.3	2.57	2.435	MF	AC118772.2	Tonic-sensitive
10379636	Slfn4	3.3	2.57	2.435	MF	ENSRNOG00000062983	Tonic-sensitive
10379636	Slfn4	3.3	2.57	2.435	MF	Slfn4	Tonic-sensitive
10380260	Trim25	2.97	0.99	0.073	MF	Trim25	Tonic-insensitive
10381408	Ifi35	2.58	1.42	1.52	MF	Ifi35	Tonic-sensitive
10383152	Rnf213	3.12	2.07	2.228	MF	Rnf213	Tonic-sensitive
10383168	Rnf213	2.92	1.77	2.19	MF	Rnf213	Tonic-sensitive
10383192	Rnf213	3.71	1.87	1.89	MF	Rnf213	Tonic-sensitive
10383194	Rnf213	2.98	1.73	1.829	MF	Rnf213	Tonic-sensitive
10383196	Rnf213	3.36	1.78	1.891	MF	Rnf213	Tonic-sensitive
10383198	Rnf213	2.96	1.69	2.091	MF	Rnf213	Tonic-sensitive
10383200	Rnf213	3.41	1.68	1.81	MF	Rnf213	Tonic-sensitive
10383202	Rnf213	2.81	1.77	2.177	MF	Rnf213	Tonic-sensitive
10383204	Rnf213	3.04	1.95	1.924	MF	Rnf213	Tonic-sensitive
