SYMBOL	FC.Mouse A	FC.Mouse D	FC.Mouse B	FC.Mouse C	FC.Rat	FDR.Mouse A	FDR.Mouse D	FDR.Mouse B	FDR.Mouse C	FDR.Rat	DE.Mouse A	DE.Mouse D	DE.Mouse B	DE.Mouse C	DE.Rat
Mup10	-21.78	-5.25	-7.43	NA	-2.57	8.23e-8	0.0226	0.0227	NA	0.2545	-1	-1	-1	NA	0
Mup2	-21.78	-5.25	-7.43	NA	-2.57	8.23e-8	0.0226	0.0227	NA	0.2545	-1	-1	-1	NA	0
Akr1c18	-21.01	NA	NA	-5.21	4.42	8.23e-8	NA	NA	NA	0.1589	-1	NA	NA	-1	0
Prg4	-7.24	NA	NA	NA	-3.29	1.18e-7	NA	NA	NA	0.0328	-1	NA	NA	NA	-1
Fam19a1	5.56	NA	NA	NA	NA	1.18e-7	NA	NA	NA	NA	1	NA	NA	NA	NA
LOC102642243	-4.85	NA	NA	NA	NA	1.87e-7	NA	NA	NA	NA	-1	NA	NA	NA	NA
Gm9745	-4.85	NA	NA	NA	1.12	1.87e-7	NA	NA	NA	0.9747	-1	NA	NA	NA	0
Rhox12	-4.63	NA	NA	NA	NA	2.28e-7	NA	NA	NA	NA	-1	NA	NA	NA	NA
Spp1	-7.09	-5.01	-7.9	-42.68	6.54	2.28e-7	0.0283	0.0129	NA	0.3085	-1	-1	-1	-1	0
Amtn	-12.73	NA	NA	NA	-4.28	2.29e-7	NA	NA	NA	0.1155	-1	NA	NA	NA	0
Saa2	-6.63	-2.41	-4.15	-22.97	NA	2.29e-7	0.0307	0.1105	NA	NA	-1	-1	0	-1	NA
Saa1	-4.71	NA	NA	-30.3	NA	2.29e-7	NA	NA	NA	NA	-1	NA	NA	-1	NA
Klk1	-5.07	-1.82	-6.3	-5.87	-23.86	2.29e-7	0.3359	0.0129	NA	7.58e-5	-1	0	-1	-1	-1
Klk1b7-ps	-5.07	-1.82	-6.3	NA	NA	2.29e-7	0.3359	0.0129	NA	NA	-1	0	-1	NA	NA
Idi2	-5.8	NA	NA	NA	1.12	2.92e-7	NA	NA	NA	0.9747	-1	NA	NA	NA	0
Gsdmc3	-5.87	NA	NA	NA	-1.21	3.04e-7	NA	NA	NA	0.9515	-1	NA	NA	NA	0
Calb2	-8.57	-1.57	-2.07	-1.99	-9.61	3.26e-7	0.1084	0.039	NA	0.0061	-1	0	-1	0	-1
I830127L07Rik	-6.65	NA	NA	NA	NA	4.88e-7	NA	NA	NA	NA	-1	NA	NA	NA	NA
Gstm3	-7.04	-3.21	-3.27	-13.24	NA	4.93e-7	0.0307	0.021	NA	NA	-1	-1	-1	-1	NA
Csn1s2a	-7.94	-2.89	-5.51	NA	-1.7	5.02e-7	0.0307	0.0188	NA	0.5736	-1	-1	-1	NA	0
Defb3	-3.57	NA	NA	-8.76	-1.18	5.52e-7	NA	NA	NA	0.9576	-1	NA	NA	-1	0
Klk1b21	-3.58	-1.44	-6	NA	-23.86	5.52e-7	0.353	0.0129	NA	7.58e-5	-1	0	-1	NA	-1
Muc5ac	-3.39	-1.01	-1.3	-2.65	NA	5.62e-7	0.9621	0.4208	NA	NA	-1	0	0	0	NA
Pgc	-8.78	NA	NA	1.19	-85.78	6.5e-7	NA	NA	NA	8.49e-6	-1	NA	NA	0	-1
Pcp4	-6.32	-5.44	-8.97	-54.72	NA	6.61e-7	0.0074	0.0129	NA	NA	-1	-1	-1	-1	NA
Igsf5	-6.32	-5.44	-8.97	NA	1.45	6.61e-7	0.0074	0.0129	NA	0.876	-1	-1	-1	NA	0
Klk1b8	-6.35	-1.33	-2.62	NA	-23.86	6.61e-7	0.3217	0.0706	NA	7.58e-5	-1	0	0	NA	-1
1810065E05Rik	-6.05	NA	NA	-2.9	-1.21	7.05e-7	NA	NA	NA	0.648	-1	NA	NA	0	0
Tdgf1-ps1	-3.53	NA	NA	NA	NA	7.56e-7	NA	NA	NA	NA	-1	NA	NA	NA	NA
S100a9	-5.93	-3.93	-5.12	-28.71	-1.61	1.1e-6	0.0968	0.0188	NA	0.2845	-1	0	-1	-1	0
Dnmt3l	4.01	NA	NA	-1.05	5.4	1.13e-6	NA	NA	NA	0.074	1	NA	NA	0	0
Cxcl13	-7.13	-1.69	-3.15	-10.86	1.29	1.13e-6	0.3441	0.081	NA	0.8826	-1	0	0	-1	0
Pla2g1b	-6.36	-1.03	-1.03	-1.27	-1.21	1.21e-6	0.8951	0.9592	NA	0.8992	-1	0	0	0	0
Ly9	4.08	2.52	1.85	3.55	1.08	1.31e-6	0.0908	0.0795	NA	0.9655	1	0	0	0	0
Serpinb3c	-7.07	NA	NA	-25.59	-2.54	1.54e-6	NA	NA	NA	0.0343	-1	NA	NA	-1	-1
Gm8089	-7.07	NA	NA	NA	NA	1.54e-6	NA	NA	NA	NA	-1	NA	NA	NA	NA
Ly6g	-14.86	-2.19	-11.76	NA	-2.99	1.64e-6	0.2262	0.0129	NA	0.0476	-1	0	-1	NA	-1
Tdo2	-5.1	-1.86	-1.86	-2.85	1.05	2.09e-6	0.31	0.2542	NA	0.9728	-1	0	0	-1	0
Obp2a	-8.53	NA	NA	NA	-1.78	2.14e-6	NA	NA	NA	0.7549	-1	NA	NA	NA	0
Gm5662	-5.35	-1.31	-1.21	NA	NA	2.14e-6	0.1754	0.6186	NA	NA	-1	0	0	NA	NA
Gsta4	-3.56	-1.67	-2.59	-10.28	-1.39	2.14e-6	0.4963	0.0942	NA	0.9395	-1	0	0	0	0
Krt13	-3.34	-1.44	-2.47	NA	2.05	2.44e-6	0.1682	0.0358	NA	0.7484	-1	0	-1	NA	0
Reg3b	-3.76	-7.98	-3.83	NA	-1.51	2.47e-6	0.007	0.0227	NA	0.6218	-1	-1	-1	NA	0
Fmo2	-3.6	NA	NA	-4.82	1.47	2.56e-6	NA	NA	NA	0.2321	-1	NA	NA	-1	0
Adgre1	-2.96	-1.13	-1.43	NA	2.49	2.7e-6	0.817	0.2927	NA	0.5398	-1	0	0	NA	0
Tspan8	-4.35	-1.9	-1.95	NA	1.42	2.72e-6	0.3978	0.0667	NA	0.9476	-1	0	0	NA	0
Rhcg	-3.05	NA	NA	-1.32	-1.95	2.87e-6	NA	NA	NA	0.1254	-1	NA	NA	0	0
Mucl2	-7.22	-10.06	-24.21	NA	-5.47	2.87e-6	5e-4	0.0129	NA	0.0137	-1	-1	-1	NA	-1
Mucl1	-7.22	-2.09	-2.25	NA	-5.47	2.87e-6	0.0265	0.0568	NA	0.0137	-1	-1	0	NA	-1
Serpina9	3.93	NA	NA	-1.31	1.73	2.87e-6	NA	NA	NA	0.6003	1	NA	NA	0	0
Ear10	-4.72	NA	NA	NA	-3.77	2.87e-6	NA	NA	NA	0.0036	-1	NA	NA	NA	-1
5430401F13Rik	-2.76	NA	NA	-1.31	NA	2.92e-6	NA	NA	NA	NA	-1	NA	NA	0	NA
Krt19	-3.37	-2.89	-4.79	NA	NA	3.01e-6	0.3944	0.021	NA	NA	-1	0	-1	NA	NA
Cryaa	-3.65	-1.28	-1.95	-1.76	NA	3.01e-6	0.228	0.0819	NA	NA	-1	0	0	0	NA
Ccl5	-2.87	-2.27	-2.62	-4.15	NA	3.01e-6	0.0429	0.2201	NA	NA	-1	-1	0	0	NA
Fabp3-ps1	-2.94	NA	NA	NA	NA	3.01e-6	NA	NA	NA	NA	-1	NA	NA	NA	NA
Uts2b	4.57	NA	NA	NA	3.33	3.08e-6	NA	NA	NA	0.8968	1	NA	NA	NA	0
Kng1	-3	-3.81	-3.12	-9.42	-1.6	3.23e-6	0.025	0.0241	NA	0.6217	-1	-1	-1	-1	0
Krt71	-2.8	-1.13	-1.53	NA	-1.22	3.23e-6	0.7372	0.1626	NA	0.9993	-1	0	0	NA	0
Ccl8	-3.11	-1.64	-2.49	-5.67	NA	3.23e-6	0.2242	0.0835	NA	NA	-1	0	0	-1	NA
Ces1f	-3.23	NA	NA	NA	NA	3.23e-6	NA	NA	NA	NA	-1	NA	NA	NA	NA
Apoa1	-5.12	-2.71	-3.85	-15.55	-2.57	3.41e-6	0.0865	0.0227	NA	0.0493	-1	0	-1	0	-1
Klk7	-2.84	NA	NA	-10.05	NA	3.41e-6	NA	NA	NA	NA	-1	NA	NA	-1	NA
Klk5	-4.6	NA	NA	-3.28	-3.31	3.41e-6	NA	NA	NA	0.0706	-1	NA	NA	-1	0
Klk1b22	-5.63	-1.92	-6	NA	-23.86	3.41e-6	0.4082	0.0129	NA	7.58e-5	-1	0	-1	NA	-1
Ccl20	-2.63	NA	NA	-4.86	NA	3.42e-6	NA	NA	NA	NA	-1	NA	NA	0	NA
I830077J02Rik	3.16	NA	NA	NA	-1.69	3.55e-6	NA	NA	NA	0.8694	1	NA	NA	NA	0
Car1	-11.55	-1.33	-1.74	-1.47	-1.28	3.7e-6	0.3058	0.1059	NA	0.9507	-1	0	0	0	0
Retnla	-3.56	NA	NA	-3.95	NA	3.7e-6	NA	NA	NA	NA	-1	NA	NA	-1	NA
Epx	-2.91	-1.25	-3.22	-3.73	-1.86	4.17e-6	0.4783	0.0936	NA	0.6882	-1	0	0	0	0
Psca	-2.98	-1.51	-1.18	-1.09	-1.16	4.17e-6	0.5527	0.6809	NA	0.9949	-1	0	0	0	0
Car4	-5.22	-1.14	-1.64	-1.8	NA	4.17e-6	0.5846	0.3193	NA	NA	-1	0	0	0	NA
Penk	-3.23	-5.62	-5.77	NA	-2.69	4.18e-6	0.0017	0.0129	NA	0.6612	-1	-1	-1	NA	0
Igf1	-2.48	-1.91	-5.64	-10.78	-1.85	4.37e-6	0.0812	0.0568	NA	0.9004	-1	0	0	-1	0
B3galt5	3.3	NA	NA	4.85	1.56	4.54e-6	NA	NA	NA	0.8445	1	NA	NA	0	0
Cnnm2	2.46	NA	NA	3.76	-1.04	4.54e-6	NA	NA	NA	0.9143	1	NA	NA	0	0
S100a8	-3.74	-4.76	-4.23	-17.7	-2.13	4.58e-6	0.1213	0.039	NA	0.2401	-1	0	-1	-1	0
Ostn	3.11	NA	NA	NA	1.08	4.83e-6	NA	NA	NA	0.9974	1	NA	NA	NA	0
Ctrb1	-3.6	-2.06	-1.79	-1.99	-9.23	5.01e-6	0.0688	0.3071	NA	0.0043	-1	0	0	0	-1
Prss34	-4.57	NA	NA	NA	-1.35	5.01e-6	NA	NA	NA	0.7506	-1	NA	NA	NA	0
Cyp2f2	-2.82	-1.53	-1.69	-5.91	1.09	5.02e-6	0.41	0.1133	NA	0.8694	-1	0	0	0	0
Krt77	-3.33	-1.89	-6.04	NA	1.13	5.66e-6	0.2486	0.0129	NA	0.9595	-1	0	-1	NA	0
Ctla4	4.88	6.49	2.21	12.52	1.27	5.67e-6	0.0435	0.0804	NA	0.9949	1	1	0	1	0
Scgn	-2.58	NA	NA	-1.09	-3	5.67e-6	NA	NA	NA	0.1529	-1	NA	NA	0	0
Il15	2.44	1.89	1.8	2.36	1.09	5.67e-6	0.0435	0.12	NA	0.9841	1	0	0	0	0
Adamdec1	-2.97	-1.18	-1.57	-3.59	1.37	5.67e-6	0.4831	0.295	NA	0.5466	-1	0	0	0	0
Gm5773	-2.67	NA	NA	NA	-1.61	6.06e-6	NA	NA	NA	0.6354	-1	NA	NA	NA	0
Il1a	-3.33	-1.32	-1.4	-1.22	1.12	6.06e-6	0.2658	0.4709	NA	0.9949	-1	0	0	0	0
Cma2	-3.65	-1.91	-2.24	-1	-8.98	6.38e-6	0.0623	0.0862	NA	0.001	-1	0	0	0	-1
Ecm1	-2.3	-1	1.24	-1.85	1.16	6.38e-6	0.9349	0.4419	NA	0.8579	-1	0	0	0	0
Krt1	-5.7	-1.23	-1.44	NA	1.48	6.38e-6	0.3338	0.2738	NA	0.6851	-1	0	0	NA	0
Bhmt-ps1	-2.72	NA	NA	NA	NA	6.42e-6	NA	NA	NA	NA	-1	NA	NA	NA	NA
Saa3	-4.07	-2.21	-7.9	-8.45	1.53	6.82e-6	0.0592	0.0129	NA	0.7174	-1	0	-1	-1	0
Klk1b4	-4.08	-1.82	-6.3	NA	-23.86	7.05e-6	0.3359	0.0129	NA	7.58e-5	-1	0	-1	NA	-1
Apoc2	-2.4	-1.37	-3.11	-6.85	-2.3	7.16e-6	0.1756	0.0735	NA	0.5706	-1	0	0	-1	0
Ear2	-3.75	-1.36	-3.77	-27.64	-3.77	7.18e-6	0.4082	0.0284	NA	0.0036	-1	0	-1	-1	-1
Ear3	-3.75	-1.36	-3.77	NA	NA	7.18e-6	0.4082	0.0284	NA	NA	-1	0	-1	NA	NA
Ear12	-3.75	-1.36	-3.77	NA	NA	7.18e-6	0.4082	0.0284	NA	NA	-1	0	-1	NA	NA
Apol7c	-3.46	NA	NA	NA	-2.38	7.27e-6	NA	NA	NA	0.5571	-1	NA	NA	NA	0
Rsad2	-3.44	-3.09	-2.43	-6.91	-3.45	7.29e-6	0.0236	0.1484	NA	0.0281	-1	-1	0	-1	-1
Ifi205	2.62	1.52	1.09	-1.28	-1.49	7.36e-6	0.545	0.8281	NA	0.9537	1	0	0	0	0
Tdgf1	-3.67	1.04	-1.09	-1.52	-4.81	7.36e-6	0.8538	0.8536	NA	0.0103	-1	0	0	0	-1
Reg4	-6.03	NA	NA	-3.77	-9.61	7.36e-6	NA	NA	NA	0.0039	-1	NA	NA	0	-1
Ccl1	-2.55	-2.04	-1.54	-1.18	-2.1	7.43e-6	0.1381	0.1902	NA	0.8055	-1	0	0	0	0
A2m	-2.71	-1.2	-1.62	-1.59	-4.02	7.85e-6	0.3867	0.3004	NA	0.1479	-1	0	0	0	0
Crabp1	-5.82	-1.35	-2.38	-4.57	-2.22	8.13e-6	0.0908	0.0373	NA	0.5473	-1	0	-1	0	0
Maoa	2.37	4.45	2.53	2.16	-1.1	8.15e-6	0.0236	0.0373	NA	0.7201	1	1	1	0	0
Fgb	-3.41	-1.63	-2.21	-3.44	-2.57	8.24e-6	0.0615	0.0806	NA	0.1486	-1	0	0	0	0
Krt84	-2.63	-1.73	-1.73	NA	1.03	8.24e-6	0.1622	0.0803	NA	0.9871	-1	0	0	NA	0
Gmnc	-3.54	NA	NA	NA	-1.67	8.24e-6	NA	NA	NA	0.987	-1	NA	NA	NA	0
Ces1g	-2.34	-1.01	-1.2	NA	NA	8.24e-6	0.9474	0.5798	NA	NA	-1	0	0	NA	NA
Fabp3	-3.88	-1.43	-1.71	-2.29	-3.18	8.31e-6	0.1883	0.1902	NA	0.0239	-1	0	0	0	-1
Ido1	-2.81	-1.25	-2.39	NA	2.51	8.37e-6	0.1995	0.0403	NA	0.4742	-1	0	-1	NA	0
Tgtp1	-3	-3.05	-5.21	NA	NA	8.37e-6	0.0098	0.0129	NA	NA	-1	-1	-1	NA	NA
Gm12185	-3	NA	NA	NA	-1.74	8.37e-6	NA	NA	NA	0.8516	-1	NA	NA	NA	0
Ltf	-3.3	-2.61	-2.99	-10.37	1	8.37e-6	0.0307	0.0284	NA	0.9395	-1	-1	-1	-1	0
Iapp	-4.51	-3.86	-2.81	-13.09	-1.13	8.37e-6	0.1338	0.0533	NA	0.962	-1	0	0	-1	0
Myh3	-2.71	-1.59	-3.33	-15.55	-1.46	8.37e-6	0.1364	0.1364	NA	0.5585	-1	0	0	-1	0
Spock3	2.87	NA	NA	2.16	-1.35	8.37e-6	NA	NA	NA	0.9124	1	NA	NA	1	0
Hdac9	2.26	NA	NA	1.03	1.23	9.1e-6	NA	NA	NA	0.792	1	NA	NA	0	0
Cps1	-2.28	-2.18	-1.78	1.6	1.89	9.35e-6	0.0842	0.307	NA	0.5209	-1	0	0	0	0
Pomc	-2.85	-2.46	-3.84	NA	-4.19	9.78e-6	0.0307	0.0227	NA	0.0309	-1	-1	-1	NA	-1
Oog1	-4.84	-1.38	-1.29	-7.11	NA	1.06e-5	0.4111	0.4218	NA	NA	-1	0	0	-1	NA
Alox12b	-2.69	-1.27	-2.38	-3.08	2.09	1.11e-5	0.2762	0.0284	NA	0.547	-1	0	-1	0	0
Tmem92	-3.31	NA	NA	NA	NA	1.15e-5	NA	NA	NA	NA	-1	NA	NA	NA	NA
Nefl	-3.73	-1.07	1.1	-4.73	1.04	1.16e-5	0.9307	0.7911	NA	0.995	-1	0	0	-1	0
Lgals2	-6.48	-1.67	-2.06	-1.32	-2.24	1.23e-5	0.0717	0.2916	NA	0.0483	-1	0	0	0	-1
Tgtp2	-2.96	-3.05	-5.21	NA	NA	1.24e-5	0.0098	0.0129	NA	NA	-1	-1	-1	NA	NA
Car2	-3.57	-1.72	-2.76	-3.48	-2.63	1.24e-5	0.4795	0.0399	NA	0.148	-1	0	-1	0	0
Apoa4	-2.11	-1.21	-2.04	-8.55	-1.42	1.24e-5	0.8698	0.0735	NA	0.8514	-1	0	0	-1	0
Chrnb2	2.52	-1.02	-1	1.89	-1.16	1.24e-5	0.9474	0.995	NA	0.9905	1	0	0	1	0
Bpifb1	-3.58	-1.47	-1.97	NA	-3.1	1.24e-5	0.3472	0.0613	NA	0.0087	-1	0	0	NA	-1
Tac2	-6.44	-2.93	-3.93	-11.85	-1.55	1.24e-5	0.0509	0.0373	NA	0.5113	-1	0	-1	0	0
Cilp	-3.6	NA	NA	-24.82	-3.08	1.24e-5	NA	NA	NA	0.4269	-1	NA	NA	-1	0
Cdca7l	2.25	2.69	1.9	NA	1.32	1.24e-5	0.0714	0.1308	NA	0.9407	1	0	0	NA	0
Krt10	-3.77	-3.03	-3.87	NA	1.68	1.28e-5	0.2724	0.0659	NA	0.3055	-1	0	0	NA	0
Tdpoz4	-4.5	NA	NA	NA	NA	1.28e-5	NA	NA	NA	NA	-1	NA	NA	NA	NA
Vnn3	-3.3	-1.48	-2.62	-10.13	-1.06	1.3e-5	0.2856	0.0402	NA	0.9813	-1	0	-1	-1	0
Des	2.13	1.02	1.17	1.62	1.37	1.34e-5	0.9756	0.5968	NA	0.9992	1	0	0	0	0
Raver2	2.16	NA	NA	NA	1.16	1.35e-5	NA	NA	NA	0.9049	1	NA	NA	NA	0
Mcpt9	-3.06	-1.04	-1.14	NA	-8.98	1.35e-5	0.9416	0.7693	NA	0.001	-1	0	0	NA	-1
Ngp	-2.56	-2.19	-2.29	-6.52	-3.43	1.35e-5	0.044	0.0346	NA	0.782	-1	-1	-1	-1	0
Gstm1	-3.12	-2.96	-2.42	-4.91	2.1	1.39e-5	0.0374	0.0333	NA	0.2128	-1	-1	-1	-1	0
Vnn1	-2.88	-4.09	-4.77	-24.85	-1.03	1.39e-5	0.1193	0.0354	NA	0.9962	-1	0	-1	-1	0
Tac4	2.12	NA	NA	-1.06	-1.51	1.4e-5	NA	NA	NA	0.8909	1	NA	NA	0	0
Gm12250	-2.22	NA	NA	NA	NA	1.4e-5	NA	NA	NA	NA	-1	NA	NA	NA	NA
Klk1b26	-2.54	-1.03	-3.6	NA	-23.86	1.41e-5	0.8403	0.036	NA	7.58e-5	-1	0	-1	NA	-1
Egfbp2	-2.54	-1.03	-3.6	NA	NA	1.41e-5	0.8403	0.036	NA	NA	-1	0	-1	NA	NA
Lefty2	-5.79	NA	NA	-4.72	-2.07	1.47e-5	NA	NA	NA	0.1863	-1	NA	NA	-1	0
Muc13	-2.83	-1.86	-3.72	NA	-2.25	1.48e-5	0.065	0.0227	NA	0.2845	-1	0	-1	NA	0
Gpx6	-2.53	NA	NA	-8.91	1.09	1.5e-5	NA	NA	NA	0.9915	-1	NA	NA	0	0
Lyz1	-2.27	1.2	-1.12	NA	-1.95	1.5e-5	0.669	0.9115	NA	0.5335	-1	0	0	NA	0
Ces1b	-2.88	NA	NA	NA	NA	1.51e-5	NA	NA	NA	NA	-1	NA	NA	NA	NA
Ces1h	-2.88	NA	NA	NA	-1.59	1.51e-5	NA	NA	NA	0.9212	-1	NA	NA	NA	0
Ear-ps9	-4.31	NA	NA	NA	NA	1.55e-5	NA	NA	NA	NA	-1	NA	NA	NA	NA
Efcab3	-2.81	NA	NA	NA	1.73	1.55e-5	NA	NA	NA	0.6159	-1	NA	NA	NA	0
Cytl1	-2.63	NA	NA	NA	-2.36	1.55e-5	NA	NA	NA	0.1407	-1	NA	NA	NA	0
Mrpl13	2.04	2.95	1.66	1.43	1.02	1.55e-5	0.0307	0.0941	NA	0.9576	1	1	0	1	0
Mpo	-3.19	-1.53	-3.48	-10.69	-7.72	1.56e-5	0.10780000000000001	0.0239	NA	0.4992	-1	0	-1	-1	0
Lilr4b	-2.74	-1.5	-1.86	NA	-1.95	1.58e-5	0.4963	0.1685	NA	0.975	-1	0	0	NA	0
Gbp3	-2.34	-4.28	-1.88	NA	-2.36	1.58e-5	0.2354	0.3363	NA	0.5041	-1	0	0	NA	0
Gm7849	-2.03	NA	NA	NA	NA	1.6e-5	NA	NA	NA	NA	-1	NA	NA	NA	NA
Gm7861	-2.03	NA	NA	NA	NA	1.6e-5	NA	NA	NA	NA	-1	NA	NA	NA	NA
Gm9059	-2.74	NA	NA	NA	NA	1.63e-5	NA	NA	NA	NA	-1	NA	NA	NA	NA
Gm6455	-2.77	NA	NA	NA	NA	1.71e-5	NA	NA	NA	NA	-1	NA	NA	NA	NA
Aspn	-6.43	NA	NA	-6	-1.19	1.78e-5	NA	NA	NA	0.9529	-1	NA	NA	-1	0
Anxa8	-2.51	-1.8	-3.24	-7.17	2.01	1.83e-5	0.2273	0.0279	NA	0.6796	-1	0	-1	-1	0
Gzmb	-4.23	-1.45	-1.76	-2.28	-5.7	1.9e-5	0.0908	0.1009	NA	0.0139	-1	0	0	0	-1
Gm10697	-2.37	NA	NA	NA	NA	1.91e-5	NA	NA	NA	NA	-1	NA	NA	NA	NA
Tdpoz5	-2.37	NA	NA	NA	-1.61	1.91e-5	NA	NA	NA	0.6354	-1	NA	NA	NA	0
Gm9107	-2.37	NA	NA	NA	NA	1.91e-5	NA	NA	NA	NA	-1	NA	NA	NA	NA
Alb	-4.04	-1.63	-3.28	NA	-3.73	1.94e-5	0.1476	0.0353	NA	0.0728	-1	0	-1	NA	0
Syn2	3.38	1.93	2.09	10.22	-1.51	1.95e-5	0.0527	0.0602	NA	0.9407	1	0	0	1	0
Igfbp6	-2.81	-1.66	-2.85	-3.01	-3.76	1.98e-5	0.0615	0.0227	NA	0.0425	-1	0	-1	-1	-1
Ace2	-2.49	-1.48	-2.01	-2.54	NA	2.02e-5	0.0714	0.1059	NA	NA	-1	0	0	-1	NA
Sult1e1	-2.61	NA	NA	-3.4	1.65	2.02e-5	NA	NA	NA	0.6089	-1	NA	NA	-1	0
Aqp1	-2.12	-1.3	-1.44	-2.56	-1.28	2.02e-5	0.1227	0.2743	NA	0.8615	-1	0	0	0	0
Gp2	-4.02	NA	NA	-19.79	-12.42	2.02e-5	NA	NA	NA	0.0154	-1	NA	NA	-1	-1
Bhmt	-2.48	-1.53	-2.19	-8.38	-1.15	2.03e-5	0.0552	0.0513	NA	0.994	-1	0	0	0	0
Nrg1	2.15	NA	NA	5.55	-1.3	2.06e-5	NA	NA	NA	0.8694	1	NA	NA	1	0
Ly6c1	-2.5	-1.8	-1.55	NA	NA	2.07e-5	0.0307	0.2906	NA	NA	-1	0	0	NA	NA
Jph1	2.26	NA	NA	1.43	1.11	2.11e-5	NA	NA	NA	0.966	1	NA	NA	0	0
Psg20	-2.92	NA	NA	NA	-1.8	2.11e-5	NA	NA	NA	0.5736	-1	NA	NA	NA	0
Vcan	-1.94	-1.34	-1.26	NA	-1.48	2.13e-5	0.3183	0.4724	NA	0.8602	0	0	0	NA	0
2210407C18Rik	-2.34	NA	NA	-3.51	NA	2.17e-5	NA	NA	NA	NA	-1	NA	NA	0	NA
Slc18a2	-2.8	NA	NA	1.11	-1.08	2.19e-5	NA	NA	NA	0.9824	-1	NA	NA	0	0
Npsr1	2.18	NA	NA	NA	-1.13	2.22e-5	NA	NA	NA	0.8973	1	NA	NA	NA	0
Gsdmc2	-4.71	NA	NA	NA	-1.21	2.22e-5	NA	NA	NA	0.9515	-1	NA	NA	NA	0
Fmo1	-2.24	-2.56	-2.62	-2.95	1.58	2.3e-5	0.0307	0.0239	NA	0.7141	-1	-1	-1	-1	0
Hal	2.2	2.5	1.62	2.66	-1.24	2.3e-5	0.0228	0.146	NA	0.8966	1	1	0	0	0
Apoa2	-2.2	1.05	1.15	-1.58	-2.95	2.33e-5	0.9157	0.7217	NA	0.0671	-1	0	0	0	0
Bpifb9b	-5.12	NA	NA	NA	-4.55	2.37e-5	NA	NA	NA	0.0198	-1	NA	NA	NA	-1
Cuzd1	-2.76	-1.14	-1.4	-1.65	-1.3	2.44e-5	0.3941	0.3567	NA	0.5797	-1	0	0	0	0
Marc1	1.97	NA	NA	NA	NA	2.44e-5	NA	NA	NA	NA	0	NA	NA	NA	NA
Plet1	-2.98	-3.81	-3.3	NA	-1.22	2.46e-5	0.0883	0.0948	NA	0.9979	-1	0	0	NA	0
Oas1d	-6.62	NA	NA	-28.22	-1.18	2.46e-5	NA	NA	NA	0.7443	-1	NA	NA	-1	0
Tectb	-2.04	-1.54	-2.74	-3.11	2.45	2.52e-5	0.0912	0.1349	NA	0.4406	-1	0	0	0	0
